total_num_patients, total_num_ed_patients, total_num_patients_entered,total_num_ed_patients_entered,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab,avg_doctor_utilization_surgery,avg_doctor_utilization_radio,avg_xray_utilization,avg_doctor_utilization_lab,avg_nurse_utilization_lab
18987.0,8607.0,20066.0,12068.0,39.78,179.0,209.0,168.76470588235293,10.046660186085266,27.71940049958368,21.208992506244797,0.5745212323064113,0.0,0.028309741881765195,0.28982204364698116,158.78224179959116,0.0,0.6071003818478226,0.4765656319299746,59.86827034155984,211.12157248118277,372.29411764705884,31.0,27,0,0,0,21.208992506244797,0.683285552592259,0.9389787554331028,0.9008210239831204,0.3022678370758093,0.9616678982669653,
19059.0,8466.0,20301.0,11906.0,39.41,173.0,292.0,166.0,12.579225107623941,27.1548709408826,24.922564529558702,0.5611990008326395,0.0,0.0,0.3666687112383409,162.38626924950782,0.12246659438610676,0.6080315425773072,0.5705129512350295,74.48840917410699,226.88383240112668,373.70588235294116,35.0,16,0,0,0,24.922564529558702,0.6441812023286515,0.9120065550955277,0.854807554833343,0.32000170207461776,0.9654548055115029,
19592.0,8600.0,21026.0,12024.0,39.2,167.0,547.0,168.62745098039215,21.15247882238578,32.149042464612826,29.80766028309742,0.36636136552872606,0.0,0.0016652789342214821,0.6061699890566462,202.44711836738313,0.0,0.5846834970007668,0.5691903107865055,121.4371188506785,274.1144324693654,384.15686274509807,59.0,71,0,0,0,29.80766028309742,0.700775325785527,0.96186433719131,0.9239291480075982,0.31364680177438925,0.9755145724974773,
19232.0,8310.0,21393.0,11845.0,40.24,171.0,846.0,162.94117647058823,25.899319538952923,33.090757701915074,29.43796835970025,0.2189841798501249,0.0,0.06661115736885928,0.737261782705684,222.41743837670555,0.0,0.5465283257400648,0.48306147612794786,150.85035351021244,290.4408342816424,377.0980392156863,66.0,39,0,0,0,29.43796835970025,0.6912037299525885,0.9393035190174311,0.8726453259603306,0.30116679470118596,0.9653066662808436,
19420.0,8477.0,22085.0,11944.0,39.89,150.0,676.0,166.2156862745098,23.306485210387446,32.776852622814324,29.732722731057454,0.33971690258118237,0.0,0.0,0.6637202312212711,211.12352617163373,0.0,0.5440856875063141,0.4351413585558577,133.62773675517155,281.10777189761444,380.7843137254902,62.0,64,0,0,0,29.732722731057454,0.6424194794991005,0.9594953052009665,0.9184570161382825,0.3058814664111097,0.9755706243376159,
19301.0,8593.0,22484.0,12121.0,39.47,165.0,792.0,168.49019607843138,27.079016803221776,34.3255620316403,29.72023313905079,0.18817651956702747,0.0,0.0,0.7861595078757866,223.70583470486,0.13565191391091663,0.5486377126484738,0.4375415414787439,154.14617128549614,298.5941903915694,378.45098039215685,67.0,47,0,0,0,29.72023313905079,0.646419496822683,0.9543779552946955,0.8998906506702397,0.303471709702357,0.9756368061654029,
19357.0,8475.0,23007.0,12020.0,45.97,177.0,799.0,166.1764705882353,25.488682127482296,32.791840133222316,29.66278101582015,0.20815986677768525,0.0,0.0,0.7300985973966819,213.011035334529,0.0,0.5715178161057981,0.4064126351868448,145.39704520077393,287.21718642499957,379.54901960784315,65.0,44,0,0,0,29.66278101582015,0.6946176979642745,0.9380870988680521,0.8933605528414256,0.3174126873377036,0.9759171922150912,
19130.0,8300.0,23486.0,11966.0,42.27,175.0,888.0,162.7450980392157,26.503402305235383,33.96419650291424,29.689425478767692,0.17318900915903415,0.0,0.006661115736885929,0.7537464469682414,220.5550051062726,0.0,0.5469884493012742,0.39907701898611714,150.97804100054776,294.5123125813111,375.0980392156863,66.0,74,0,0,0,29.689425478767692,0.6730516964823857,0.9609046934620082,0.9065000192696003,0.3103475707322878,0.9750061031353024,
19630.0,8760.0,23969.0,12013.0,32.4,139.0,414.0,171.76470588235293,19.429384807665603,31.507077435470443,29.77601998334721,0.22814321398834306,0.0,0.004995836802664446,0.540599116629508,190.51043012458263,0.0,0.5470583492428828,0.500482067296909,113.46319075030658,269.05163139923627,384.9019607843137,56.0,29,0,0,0,29.77601998334721,0.6293573295566158,0.9470368733812338,0.8933843970424226,0.3115504603690744,0.9767712306844617,
19517.0,8646.0,24303.0,12011.0,34.89,142.0,604.0,169.52941176470588,24.757255936675463,32.757701915070776,29.750208159866776,0.12073272273105745,0.0,0.0016652789342214821,0.6966520691931799,214.43288028296718,0.0,0.5560649697942174,0.504026592763676,145.6734500894957,284.08552749143445,382.6862745098039,68.0,22,0,0,0,29.750208159866776,0.6637224069725847,0.966044381392647,0.9210880893529204,0.3115923514113726,0.973546911903881,
